source,target,weight,phase,type,diac_component
23_22-11h,17_22-12h,1.0,22-11h,diac,92
30_22-11h,18_22-12h,0.25,22-11h,diac,93
31_22-11h,8_22-12h,0.3333333333333333,22-11h,diac,85
1000_22-11h,1000_22-12h,0.5950413223140496,22-11h,diac,7
0_22-12h,0_22-13h,0.5555555555555556,22-12h,diac,86
2_22-12h,2_22-13h,0.21428571428571427,22-12h,diac,82
2_22-12h,6_22-13h,0.25,22-12h,diac,82
4_22-12h,1_22-13h,0.7142857142857143,22-12h,diac,87
10_22-12h,4_22-13h,0.2857142857142857,22-12h,diac,94
10_22-12h,8_22-13h,0.3333333333333333,22-12h,diac,94
20_22-12h,2_22-13h,0.5,22-12h,diac,82
12_22-12h,3_22-13h,0.3333333333333333,22-12h,diac,82
1000_22-12h,1000_22-13h,0.7278911564625851,22-12h,diac,7
0_22-13h,0_22-14h,0.6666666666666666,22-13h,diac,86
1_22-13h,12_22-14h,0.375,22-13h,diac,87
2_22-13h,11_22-14h,0.625,22-13h,diac,82
3_22-13h,6_22-14h,0.3076923076923077,22-13h,diac,82
4_22-13h,19_22-14h,0.25,22-13h,diac,94
4_22-13h,20_22-14h,0.25,22-13h,diac,94
6_22-13h,6_22-14h,0.29411764705882354,22-13h,diac,82
6_22-13h,4_22-14h,0.2222222222222222,22-13h,diac,82
8_22-13h,19_22-14h,0.3333333333333333,22-13h,diac,94
1000_22-13h,1000_22-14h,0.8531468531468531,22-13h,diac,7
4_22-14h,2_22-15h,0.21428571428571427,22-14h,diac,82
4_22-14h,7_22-15h,0.23076923076923078,22-14h,diac,82
11_22-14h,0_22-15h,0.3333333333333333,22-14h,diac,82
1000_22-14h,1000_22-15h,0.6686746987951807,22-14h,diac,7
0_22-15h,2_22-16h,0.5,22-15h,diac,82
0_22-15h,7_22-16h,0.3333333333333333,22-15h,diac,82
2_22-15h,6_22-16h,0.3333333333333333,22-15h,diac,82
4_22-15h,1_22-16h,0.6666666666666666,22-15h,diac,95
1000_22-15h,1000_22-16h,0.8941176470588236,22-15h,diac,7
1000_22-16h,1000_22-17h,0.9333333333333333,22-16h,diac,7
1000_22-17h,1000_22-18h,0.9666666666666667,22-17h,diac,7
1000_22-18h,1000_22-19h,0.9777777777777777,22-18h,diac,7
1000_22-19h,1000_22-20h,1.0,22-19h,diac,7
1000_22-20h,1000_22-21h,1.0,22-20h,diac,7
1000_22-21h,1000_22-22h,1.0,22-21h,diac,7
1000_22-22h,1000_22-23h,1.0,22-22h,diac,7
1000_22-23h,1000_23-00h,1.0,22-23h,diac,7
1000_23-00h,1000_23-01h,1.0,23-00h,diac,7
1000_23-01h,1000_23-02h,1.0,23-01h,diac,7
1000_23-02h,1000_23-03h,1.0,23-02h,diac,7
1000_23-03h,1000_23-04h,1.0,23-03h,diac,7
1000_23-04h,1000_23-05h,0.9277777777777778,23-04h,diac,7
2_23-05h,2_23-06h,0.25,23-05h,diac,96
3_23-05h,0_23-06h,0.6,23-05h,diac,97
1000_23-05h,1000_23-06h,0.5266272189349113,23-05h,diac,7
1_23-06h,2_23-07h,0.4,23-06h,diac,98
2_23-06h,13_23-07h,0.7777777777777778,23-06h,diac,96
3_23-06h,3_23-07h,0.2727272727272727,23-06h,diac,99
4_23-06h,7_23-07h,0.2222222222222222,23-06h,diac,100
4_23-06h,12_23-07h,0.2222222222222222,23-06h,diac,100
6_23-06h,21_23-07h,0.3333333333333333,23-06h,diac,101
7_23-06h,20_23-07h,0.2727272727272727,23-06h,diac,102
9_23-06h,4_23-07h,0.36363636363636365,23-06h,diac,103
10_23-06h,22_23-07h,0.4,23-06h,diac,104
11_23-06h,9_23-07h,0.3333333333333333,23-06h,diac,105
13_23-06h,0_23-07h,1.0,23-06h,diac,106
14_23-06h,14_23-07h,1.0,23-06h,diac,107
15_23-06h,8_23-07h,1.0,23-06h,diac,108
1000_23-06h,1000_23-07h,0.6821705426356589,23-06h,diac,7
20_23-07h,2_23-08h,0.23529411764705882,23-07h,diac,102
7_23-07h,5_23-08h,0.3333333333333333,23-07h,diac,100
9_23-07h,8_23-08h,0.3333333333333333,23-07h,diac,105
13_23-07h,1_23-08h,0.35714285714285715,23-07h,diac,96
22_23-07h,12_23-08h,1.0,23-07h,diac,104
1000_23-07h,1000_23-08h,0.46511627906976744,23-07h,diac,7
5_23-08h,13_23-09h,0.4,23-08h,diac,100
8_23-08h,17_23-09h,0.3333333333333333,23-08h,diac,105
11_23-08h,7_23-09h,0.5,23-08h,diac,109
1000_23-08h,1000_23-09h,0.43478260869565216,23-08h,diac,7
0_23-09h,1_23-10h,0.5,23-09h,diac,100
3_23-09h,2_23-10h,0.21428571428571427,23-09h,diac,110
13_23-09h,10_23-10h,0.6153846153846154,23-09h,diac,100
7_23-09h,3_23-10h,0.2857142857142857,23-09h,diac,109
8_23-09h,9_23-10h,0.25,23-09h,diac,111
15_23-09h,11_23-10h,0.5,23-09h,diac,112
15_23-09h,12_23-10h,0.4,23-09h,diac,112
10_23-09h,8_23-10h,1.0,23-09h,diac,113
11_23-09h,4_23-10h,0.35714285714285715,23-09h,diac,114
14_23-09h,7_23-10h,0.6666666666666666,23-09h,diac,115
1000_23-09h,1000_23-10h,0.5474452554744526,23-09h,diac,7
0_23-10h,4_23-11h,0.375,23-10h,diac,116
1_23-10h,3_23-11h,0.23809523809523808,23-10h,diac,100
3_23-10h,9_23-11h,0.2222222222222222,23-10h,diac,109
10_23-10h,3_23-11h,0.2692307692307692,23-10h,diac,100
1000_23-10h,1000_23-11h,0.5392156862745098,23-10h,diac,7
2_23-11h,6_23-12h,0.3333333333333333,23-11h,diac,117
6_23-11h,2_23-12h,1.0,23-11h,diac,118
7_23-11h,9_23-12h,0.3333333333333333,23-11h,diac,119
7_23-11h,15_23-12h,0.5,23-11h,diac,119
1000_23-11h,1000_23-12h,0.5333333333333333,23-11h,diac,7
20_23-12h,15_23-13h,0.26666666666666666,23-12h,diac,120
8_23-12h,8_23-13h,1.0,23-12h,diac,121
9_23-12h,13_23-13h,0.5,23-12h,diac,119
17_23-12h,2_23-13h,0.2857142857142857,23-12h,diac,122
1000_23-12h,1000_23-13h,0.5827338129496403,23-12h,diac,7
3_23-13h,1_23-14h,0.20833333333333334,23-13h,diac,123
5_23-13h,7_23-14h,0.23529411764705882,23-13h,diac,124
10_23-13h,15_23-14h,0.2727272727272727,23-13h,diac,125
1000_23-13h,1000_23-14h,0.5886524822695035,23-13h,diac,7
0_23-14h,8_23-15h,0.3333333333333333,23-14h,diac,126
1_23-14h,2_23-15h,0.375,23-14h,diac,123
1_23-14h,6_23-15h,0.2857142857142857,23-14h,diac,123
4_23-14h,0_23-15h,0.45454545454545453,23-14h,diac,124
7_23-14h,0_23-15h,0.26666666666666666,23-14h,diac,124
15_23-14h,4_23-15h,0.25,23-14h,diac,125
18_23-14h,5_23-15h,0.6666666666666666,23-14h,diac,127
19_23-14h,1_23-15h,0.2857142857142857,23-14h,diac,128
1000_23-14h,1000_23-15h,0.7748344370860927,23-14h,diac,7
0_23-15h,0_23-16h,0.45454545454545453,23-15h,diac,124
0_23-15h,2_23-16h,0.45454545454545453,23-15h,diac,124
4_23-15h,6_23-16h,0.6666666666666666,23-15h,diac,125
1000_23-15h,1000_23-16h,0.8395061728395061,23-15h,diac,7
1000_23-16h,1000_23-17h,0.8944444444444445,23-16h,diac,7
1000_23-17h,1000_23-18h,1.0,23-17h,diac,7
1000_23-18h,1000_23-19h,1.0,23-18h,diac,7
1000_23-19h,1000_23-20h,1.0,23-19h,diac,7
1000_23-20h,1000_23-21h,1.0,23-20h,diac,7
1000_23-21h,1000_23-22h,1.0,23-21h,diac,7
1000_23-22h,1000_23-23h,1.0,23-22h,diac,7
1000_23-23h,1000_26-00h,1.0,23-23h,diac,7
1000_26-00h,1000_26-01h,1.0,26-00h,diac,7
1000_26-01h,1000_26-02h,1.0,26-01h,diac,7
1000_26-02h,1000_26-03h,1.0,26-02h,diac,7
1000_26-03h,1000_26-04h,1.0,26-03h,diac,7
1000_26-04h,1000_26-05h,0.9555555555555556,26-04h,diac,7
7_26-05h,0_26-06h,0.5,26-05h,diac,129
1000_26-05h,1000_26-06h,0.6228571428571429,26-05h,diac,7
1_26-06h,7_26-07h,1.0,26-06h,diac,130
2_26-06h,2_26-07h,0.5,26-06h,diac,131
2_26-06h,13_26-07h,0.21428571428571427,26-06h,diac,131
3_26-06h,0_26-07h,0.25,26-06h,diac,132
3_26-06h,1_26-07h,0.5,26-06h,diac,132
7_26-06h,10_26-07h,0.3333333333333333,26-06h,diac,133
9_26-06h,14_26-07h,0.6666666666666666,26-06h,diac,134
10_26-06h,9_26-07h,0.6666666666666666,26-06h,diac,135
13_26-06h,10_26-07h,0.3333333333333333,26-06h,diac,133
14_26-06h,3_26-07h,1.0,26-06h,diac,136
16_26-06h,11_26-07h,1.0,26-06h,diac,137
19_26-06h,4_26-07h,1.0,26-06h,diac,138
1000_26-06h,1000_26-07h,0.6689655172413793,26-06h,diac,7
0_26-07h,6_26-08h,0.4,26-07h,diac,132
2_26-07h,1_26-08h,0.20689655172413793,26-07h,diac,131
3_26-07h,5_26-08h,0.3333333333333333,26-07h,diac,136
5_26-07h,7_26-08h,0.2727272727272727,26-07h,diac,139
7_26-07h,2_26-08h,0.42857142857142855,26-07h,diac,130
14_26-07h,8_26-08h,1.0,26-07h,diac,134
1000_26-07h,1000_26-08h,0.5112781954887218,26-07h,diac,7
9_26-08h,3_26-09h,0.2222222222222222,26-08h,diac,140
2_26-08h,9_26-09h,0.2857142857142857,26-08h,diac,130
5_26-08h,0_26-09h,0.3333333333333333,26-08h,diac,136
6_26-08h,2_26-09h,0.3333333333333333,26-08h,diac,132
8_26-08h,5_26-09h,0.6666666666666666,26-08h,diac,134
1000_26-08h,1000_26-09h,0.5303030303030303,26-08h,diac,7
0_26-09h,1_26-10h,1.0,26-09h,diac,136
1_26-09h,2_26-10h,0.3333333333333333,26-09h,diac,141
2_26-09h,3_26-10h,0.5,26-09h,diac,132
3_26-09h,19_26-10h,0.35714285714285715,26-09h,diac,140
6_26-09h,11_26-10h,0.6666666666666666,26-09h,diac,142
7_26-09h,0_26-10h,0.6666666666666666,26-09h,diac,143
14_26-09h,17_26-10h,0.4,26-09h,diac,144
9_26-09h,18_26-10h,0.42857142857142855,26-09h,diac,130
10_26-09h,22_26-10h,1.0,26-09h,diac,145
11_26-09h,12_26-10h,0.38461538461538464,26-09h,diac,146
17_26-09h,18_26-10h,0.2857142857142857,26-09h,diac,130
19_26-09h,27_26-10h,0.3333333333333333,26-09h,diac,147
1000_26-09h,1000_26-10h,0.5447761194029851,26-09h,diac,7
19_26-10h,6_26-11h,0.25,26-10h,diac,140
18_26-10h,20_26-11h,0.2857142857142857,26-10h,diac,130
12_26-10h,19_26-11h,0.23076923076923078,26-10h,diac,146
29_26-10h,3_26-11h,0.3,26-10h,diac,148
31_26-10h,9_26-11h,0.2222222222222222,26-10h,diac,149
34_26-10h,8_26-11h,1.0,26-10h,diac,150
1000_26-10h,1000_26-11h,0.5357142857142857,26-10h,diac,7
0_26-11h,10_26-12h,0.2777777777777778,26-11h,diac,151
9_26-11h,1_26-12h,0.6666666666666666,26-11h,diac,149
13_26-11h,0_26-12h,0.25,26-11h,diac,152
13_26-11h,7_26-12h,0.21052631578947367,26-11h,diac,152
6_26-11h,2_26-12h,0.36363636363636365,26-11h,diac,140
7_26-11h,9_26-12h,0.38461538461538464,26-11h,diac,153
12_26-11h,12_26-12h,0.6666666666666666,26-11h,diac,154
17_26-11h,11_26-12h,0.3333333333333333,26-11h,diac,155
1000_26-11h,1000_26-12h,0.5504587155963303,26-11h,diac,7
5_26-12h,7_26-13h,0.38461538461538464,26-12h,diac,156
6_26-12h,22_26-13h,1.0,26-12h,diac,157
10_26-12h,2_26-13h,0.35714285714285715,26-12h,diac,151
13_26-12h,9_26-13h,0.3076923076923077,26-12h,diac,158
15_26-12h,21_26-13h,0.5,26-12h,diac,159
1000_26-12h,1000_26-13h,0.5303030303030303,26-12h,diac,7
2_26-13h,11_26-14h,0.2857142857142857,26-13h,diac,151
3_26-13h,11_26-14h,0.3333333333333333,26-13h,diac,151
12_26-13h,2_26-14h,0.5,26-13h,diac,160
5_26-13h,6_26-14h,0.5,26-13h,diac,158
7_26-13h,1_26-14h,0.8,26-13h,diac,156
9_26-13h,10_26-14h,0.25,26-13h,diac,158
9_26-13h,4_26-14h,0.2857142857142857,26-13h,diac,158
14_26-13h,5_26-14h,0.5,26-13h,diac,161
15_26-13h,27_26-14h,0.2222222222222222,26-13h,diac,162
21_26-13h,21_26-14h,1.0,26-13h,diac,159
1000_26-13h,1000_26-14h,0.6102941176470589,26-13h,diac,7
1_26-14h,1_26-15h,1.0,26-14h,diac,156
4_26-14h,7_26-15h,0.2857142857142857,26-14h,diac,158
6_26-14h,7_26-15h,0.3333333333333333,26-14h,diac,158
7_26-14h,4_26-15h,0.8,26-14h,diac,163
27_26-14h,13_26-15h,0.2222222222222222,26-14h,diac,162
30_26-14h,0_26-15h,1.0,26-14h,diac,164
1000_26-14h,1000_26-15h,0.5592105263157895,26-14h,diac,7
0_26-15h,3_26-16h,0.6666666666666666,26-15h,diac,164
1_26-15h,2_26-16h,0.5,26-15h,diac,156
1_26-15h,6_26-16h,0.4,26-15h,diac,156
7_26-15h,13_26-16h,0.5,26-15h,diac,158
4_26-15h,9_26-16h,0.6666666666666666,26-15h,diac,163
6_26-15h,18_26-16h,0.25,26-15h,diac,165
10_26-15h,1_26-16h,1.0,26-15h,diac,166
12_26-15h,11_26-16h,0.25,26-15h,diac,167
1000_26-15h,1000_26-16h,0.7239263803680982,26-15h,diac,7
1000_26-16h,1000_26-17h,0.7444444444444445,26-16h,diac,7
1000_26-17h,1000_26-18h,1.0,26-17h,diac,7
1000_26-18h,1000_26-19h,1.0,26-18h,diac,7
1000_26-19h,1000_26-20h,1.0,26-19h,diac,7
1000_26-20h,1000_26-21h,1.0,26-20h,diac,7
1000_26-21h,1000_26-22h,1.0,26-21h,diac,7
1000_26-22h,1000_26-23h,1.0,26-22h,diac,7
1000_26-23h,1000_27-00h,1.0,26-23h,diac,7
1000_27-00h,1000_27-01h,1.0,27-00h,diac,7
1000_27-01h,1000_27-02h,1.0,27-01h,diac,7
1000_27-02h,1000_27-03h,1.0,27-02h,diac,7
1000_27-03h,1000_27-04h,1.0,27-03h,diac,7
1000_27-04h,1000_27-05h,0.9888888888888889,27-04h,diac,7
0_27-05h,0_27-06h,0.4,27-05h,diac,168
1000_27-05h,1000_27-06h,0.6797752808988764,27-05h,diac,7
0_27-06h,8_27-07h,0.4,27-06h,diac,168
1_27-06h,1_27-07h,0.2727272727272727,27-06h,diac,169
4_27-06h,4_27-07h,0.6666666666666666,27-06h,diac,170
8_27-06h,0_27-07h,0.75,27-06h,diac,171
10_27-06h,2_27-07h,0.6666666666666666,27-06h,diac,172
17_27-06h,10_27-07h,0.6666666666666666,27-06h,diac,173
1000_27-06h,1000_27-07h,0.691358024691358,27-06h,diac,7
3_27-07h,7_27-08h,0.2857142857142857,27-07h,diac,174
6_27-07h,2_27-08h,0.25,27-07h,diac,175
9_27-07h,2_27-08h,0.3333333333333333,27-07h,diac,175
1000_27-07h,1000_27-08h,0.6369426751592356,27-07h,diac,7
0_27-08h,7_27-09h,0.25,27-08h,diac,176
1_27-08h,0_27-09h,0.3333333333333333,27-08h,diac,177
2_27-08h,13_27-09h,0.21428571428571427,27-08h,diac,175
3_27-08h,8_27-09h,0.23076923076923078,27-08h,diac,178
6_27-08h,13_27-09h,0.2857142857142857,27-08h,diac,175
7_27-08h,6_27-09h,0.2857142857142857,27-08h,diac,174
8_27-08h,1_27-09h,0.5625,27-08h,diac,179
12_27-08h,12_27-09h,1.0,27-08h,diac,180
1000_27-08h,1000_27-09h,0.6917293233082706,27-08h,diac,7
0_27-09h,22_27-10h,0.25,27-09h,diac,177
2_27-09h,14_27-10h,0.2857142857142857,27-09h,diac,181
5_27-09h,3_27-10h,1.0,27-09h,diac,182
8_27-09h,10_27-10h,0.75,27-09h,diac,178
13_27-09h,1_27-10h,0.2727272727272727,27-09h,diac,175
12_27-09h,12_27-10h,0.5,27-09h,diac,180
14_27-09h,4_27-10h,1.0,27-09h,diac,183
1000_27-09h,1000_27-10h,0.6,27-09h,diac,7
20_27-10h,1_27-11h,0.3333333333333333,27-10h,diac,184
3_27-10h,9_27-11h,0.6666666666666666,27-10h,diac,182
17_27-10h,8_27-11h,0.4,27-10h,diac,185
21_27-10h,2_27-11h,0.3,27-10h,diac,186
1000_27-10h,1000_27-11h,0.5116279069767442,27-10h,diac,7
1_27-11h,5_27-12h,0.3333333333333333,27-11h,diac,184
2_27-11h,7_27-12h,0.45454545454545453,27-11h,diac,186
3_27-11h,2_27-12h,0.3333333333333333,27-11h,diac,187
4_27-11h,11_27-12h,0.36363636363636365,27-11h,diac,188
11_27-11h,23_27-12h,1.0,27-11h,diac,189
12_27-11h,11_27-12h,0.23529411764705882,27-11h,diac,188
13_27-11h,4_27-12h,0.25,27-11h,diac,190
15_27-11h,4_27-12h,0.25,27-11h,diac,190
1000_27-11h,1000_27-12h,0.575,27-11h,diac,7
2_27-12h,5_27-13h,0.42857142857142855,27-12h,diac,187
3_27-12h,0_27-13h,0.2857142857142857,27-12h,diac,191
0_27-12h,15_27-13h,0.3333333333333333,27-12h,diac,192
19_27-12h,2_27-13h,0.3333333333333333,27-12h,diac,193
19_27-12h,10_27-13h,0.3333333333333333,27-12h,diac,193
16_27-12h,4_27-13h,0.6666666666666666,27-12h,diac,194
21_27-12h,7_27-13h,0.25,27-12h,diac,195
22_27-12h,20_27-13h,0.25,27-12h,diac,196
26_27-12h,12_27-13h,0.3333333333333333,27-12h,diac,197
1000_27-12h,1000_27-13h,0.6214285714285714,27-12h,diac,7
0_27-13h,1_27-14h,0.29411764705882354,27-13h,diac,191
4_27-13h,10_27-14h,1.0,27-13h,diac,194
13_27-13h,6_27-14h,1.0,27-13h,diac,198
15_27-13h,5_27-14h,0.5555555555555556,27-13h,diac,192
16_27-13h,5_27-14h,0.2222222222222222,27-13h,diac,192
19_27-13h,14_27-14h,0.3333333333333333,27-13h,diac,199
1000_27-13h,1000_27-14h,0.5801526717557252,27-13h,diac,7
7_27-14h,1_27-15h,0.6,27-14h,diac,200
15_27-14h,3_27-15h,0.5,27-14h,diac,201
1000_27-14h,1000_27-15h,0.4186046511627907,27-14h,diac,7
2_27-15h,1_27-16h,0.4,27-15h,diac,202
1_27-15h,0_27-16h,0.25,27-15h,diac,200
1000_27-15h,1000_27-16h,0.8125,27-15h,diac,7
